"","min_connectivity_min","min_connectivity_average","avg_connectivity_min","avg_connectivity_average","n_samples","rmse","consistency_location","consistency_angles"
"1",0,0.00277777777777778,0.05,0.0827563612199377,15,0.481672219424781,0.887428820776667,0.842268211506939
"2",0,0,0.0166666666666667,0.0705318238757382,15,0.30382986126691,0.876223994293545,0.826355959835197
"3",0,0.120554857617034,0.2,0.359361451854621,15,0.231956042810975,0.852524208125433,0.793697000718238
"4",0,0.36,0.666666666666667,0.786666666666667,15,0.590830777253502,0.852373329138594,0.677455128963512
"5",0.1,0.207390570999019,0.183333333333333,0.255673234077427,15,0.611113387009194,0.864846496239405,0.83214660510436
"6",0,0.0611111111111111,0.183333333333333,0.225579140482304,15,0.26860809730097,0.838387004480591,0.84538468937201
"7",0,0,0.0833333333333333,0.0926939246714257,15,0.350288640824597,0.921097080725067,0.888033778749644
"8",0.05,0.140502407646406,0.233333333333333,0.291119757528222,15,0.41557424363967,0.862481150669003,0.823184986451602
"9",0,0,0.0666666666666667,0.129298388157357,15,0.467396585617784,0.876038638781555,0.811390710918548
"10",0,0.0277777777777778,0.45,0.530527395795237,15,0.594734930662635,0.782876006618765,0.789929335904216
"11",0,0.0829344623904195,0.0833333333333333,0.186527824012914,15,0.642504815813578,0.85494382242716,0.804711571633218
"12",0,0.21525504528519,0.15,0.331285258739373,15,0.770449741881658,0.821838286823279,0.796351118825922
"13",0,0.0125,0.0833333333333333,0.117552940596388,15,0.522917899340362,0.916253709043936,0.867424186672955
"14",0,0.0161900753465172,0.0166666666666667,0.0408602237071856,15,0.302543737706046,0.931240198545118,0.885552360528305
"15",0,0.00416666666666667,0.0333333333333333,0.0423274385439569,15,0.334357282035279,0.917203470192925,0.883492869758853
"16",0,0.061341681234051,0.15,0.267939794138231,15,0.268689554154585,0.898047049442845,0.84817199110474
"17",0,0.00555555555555556,0.183333333333333,0.295155977274608,15,0.269060098410843,0.864120165086456,0.839125120174748
"18",0,0,0.0666666666666667,0.126283467598142,15,0.540194994193973,0.906820356482888,0.838441096467306
"19",0.05,0.13672035623181,0.2,0.265073482328619,15,0.2655343018411,0.832168318451399,0.817566608812088
"20",0,0.00138888888888889,0.183333333333333,0.22158679566454,15,0.383452965951934,0.87055730755418,0.810931833002096
"21",0,0.0416131686066885,0.166666666666667,0.268781365854685,15,0.421774096306843,0.830870570746974,0.793929604863151
"22",0,0.0111111111111111,0.283333333333333,0.309671698378552,15,0.309406253096299,0.799501315861319,0.768889088233887
"23",0,0,0.0166666666666667,0.0446857846102295,15,0.49518914247415,0.926519782833378,0.894609580260371
"24",0,0.0992588903630042,0.2,0.295346646464305,15,0.324743315620384,0.879866095640077,0.814488936984844
"25",0,0.0222222222222222,0.233333333333333,0.2543720769626,15,0.624985802267255,0.873136899306664,0.827276342579038
"26",0,0.0273403377586391,0.116666666666667,0.15494677925288,15,0.440173204381148,0.877825395662588,0.853282421794947
"27",0,0.0436419515303555,0.166666666666667,0.211481106293928,15,0.579231495745611,0.824728311966084,0.816417772107806
"28",0,0.0492012273613128,0.0333333333333333,0.091846510087174,15,0.243344763031863,0.882606525234454,0.861322182373684
"29",0.05,0.0888888888888889,0.0833333333333333,0.127515525765729,15,0.645186606752354,0.878626289100785,0.837129248179049
"30",0,0,0.183333333333333,0.301745465180769,15,0.579968160633716,0.861441478566806,0.793963784109725
"31",0,0.0125,0.05,0.165647648191198,15,0.425661561134259,0.911647285366227,0.855084629952875
"32",0,0.0655329277199023,0.1,0.156357192400881,15,0.350134062732871,0.891605557103367,0.85325148308266
"33",0,0,0.0166666666666667,0.109079970508403,15,0.690285313441171,0.881041967828424,0.831647961782911
"34",0,0.0413617049137989,0.0833333333333333,0.136156054865896,15,0.52462657572449,0.884085353400985,0.856867588665187
"35",0,0,0,0.0482949924498052,15,0.233596243397502,0.9291482493684,0.870938442851355
"36",0,0.0277777777777778,0.0666666666666667,0.194287117014494,15,0.357801240152633,0.884944372571974,0.822025655550747
"37",0,0.00555555555555556,0.1,0.20871963250816,15,0.353667949639008,0.877880857229223,0.822410395537608
"38",0,0.25,0.666666666666667,0.75,15,0.721334024005863,0.843986398661554,0.651673578657717
"39",0,0,0.183333333333333,0.234078949010101,15,0.413455352899122,0.869751293463616,0.808059437789893
"40",0,0.0611111111111111,0.25,0.314512537841688,15,0.186931300111171,0.846267727109707,0.849040918599978
"41",0,0.0790596705467103,0.3,0.432464537798326,15,0.225140451314401,0.847144319659489,0.786921320555866
"42",0,0.05,0.0333333333333334,0.101856242622171,15,0.20897625281085,0.900171566154062,0.85733311921291
"43",0,0.118479099562496,0.0833333333333333,0.17833435158396,15,0.581116671334219,0.871975624990344,0.847539323467912
"44",0,0.00555555555555556,0.183333333333333,0.244988970152147,15,0.306582990967762,0.867123963705662,0.817705759508169
"45",0.25,0.297861599495698,0.35,0.392520320148901,15,0.17914126901831,0.863524969418752,0.837185485668526
"46",0,0,0.1,0.141249251213983,15,0.549952331651385,0.902836145372092,0.869540353357584
"47",0.05,0.119905584690324,0.183333333333333,0.236410554841726,15,0.574989906130078,0.888870426943713,0.844187467889591
"48",0,0.173316324759439,0.133333333333333,0.243680096256944,15,0.593875743590021,0.874550182932028,0.816489438323879
"49",0,0.00833333333333333,0.116666666666667,0.159845545661398,15,0.442857001995252,0.879355883145911,0.865909440647145
"50",0.1,0.123737243569579,0.283333333333333,0.378404259389399,15,0.205535505064686,0.809948331158582,0.799483384448562
"51",0,0.00277777777777778,0,0.00820289665954721,15,0.501068561915852,0.900200137484777,0.866547353128203
"52",0,0,0,0.00679035577257693,15,0.505536360900476,0.963983330847849,0.922891197271493
"53",0,0,0.0166666666666667,0.0489729473861112,15,0.131958094905907,0.942113071581298,0.895311852628813
"54",0,0,0.0666666666666667,0.103413587451088,15,0.190744441424651,0.907411399784427,0.882312184741701
"55",0,0.00555555555555556,0.05,0.148990361138301,15,0.250361853436917,0.885674627539647,0.834485181406626
"56",0,0.0333333333333333,0.216666666666667,0.294137344520244,15,0.36205105811083,0.81793426210922,0.784844123114712
"57",0,0,0,0.0604894433964589,15,0.534692808759809,0.950449372491148,0.884541657518102
"58",0,0.0109199215124272,0.1,0.135686910291165,15,0.472620614314352,0.884409871035828,0.841094053991926
"59",0,0.00555555555555556,0.05,0.154024814143894,15,0.24358522707835,0.90350249362144,0.842763864679964
"60",0,0.0716179336267568,0.133333333333333,0.228234998914417,15,0.353939637408581,0.817623508636299,0.813891285680192
"61",0,0.05,0.0333333333333334,0.0608025355585384,15,0.20976549945494,0.931199146482417,0.89212047471127
"62",0,0.0629451501051233,0.0666666666666667,0.197837732359346,15,0.704534051649557,0.876832770459289,0.81111023089202
"63",0.1,0.239564392373896,0.133333333333333,0.261679010322973,15,0.498286036202952,0.80730488383465,0.791277738559575
"64",0.05,0.0680555555555556,0.2,0.254583098317337,15,0.653625536577938,0.878640476005197,0.824988686765536
"65",0.05,0.0647603013860688,0.05,0.0682347589368334,15,0.52214179452488,0.907621911009136,0.896574901083924
